generation,ga,average score,best score
0,0,0.50,5.88
1,0,1.00,8.02
2,0,1.22,6.03
3,0,1.99,4.53
4,0,0.12,2.31
5,0,0.31,1.28
6,0,0.43,1.06
7,0,1.29,2.03
8,0,0.21,1.54
9,0,1.09,1.51
0,1,0.50,4.51
1,1,0.59,2.92
2,1,1.31,6.34
3,1,0.34,2.39
4,1,0.15,4.08
5,1,0.19,2.24
6,1,0.25,2.87
7,1,0.20,2.98
8,1,0.56,1.35
9,1,0.34,1.31
0,2,0.50,4.23
1,2,0.77,4.35
2,2,1.61,5.04
3,2,0.47,2.86
4,2,0.12,1.83
5,2,0.69,0.93
6,2,0.13,1.59
7,2,0.54,1.55
8,2,0.54,0.68
9,2,0.48,1.10
0,3,0.50,3.44
1,3,1.37,6.06
2,3,0.41,2.32
3,3,0.53,2.22
4,3,0.42,2.54
5,3,0.33,1.24
6,3,0.15,2.04
7,3,0.26,1.33
8,3,0.32,1.10
9,3,0.50,0.50
10,0,0.50,1.88
11,0,0.36,2.15
12,0,0.45,3.06
13,0,0.50,1.67
14,0,0.87,2.68
15,0,0.54,1.45
16,0,0.80,2.01
17,0,0.11,1.17
18,0,0.40,1.84
19,0,0.24,1.32
10,1,0.50,2.00
11,1,0.46,3.81
12,1,0.85,2.71
13,1,0.53,2.83
14,1,0.76,1.78
15,1,0.29,1.59
16,1,0.18,2.57
17,1,0.59,2.40
18,1,0.59,0.84
19,1,0.48,0.96
10,2,0.50,1.70
11,2,0.52,0.75
12,2,0.26,1.94
13,2,0.41,1.32
14,2,0.45,1.10
15,2,0.97,3.04
16,2,0.41,0.68
17,2,0.28,2.24
18,2,0.65,2.31
19,2,0.33,1.75
10,3,0.50,1.89
11,3,0.78,4.35
12,3,0.96,4.06
13,3,0.33,3.10
14,3,0.46,0.62
15,3,0.71,2.58
16,3,0.17,1.51
17,3,0.54,0.57
18,3,0.85,1.01
19,3,0.50,0.50
20,0,0.50,0.50
21,0,0.59,1.66
22,0,0.67,2.57
23,0,0.71,2.38
24,0,0.30,2.60
25,0,0.53,1.68
26,0,0.70,1.54
27,0,0.52,1.59
28,0,0.73,1.02
29,0,-0.01,1.05
20,1,0.50,3.50
21,1,0.63,3.87
22,1,0.35,2.62
23,1,0.50,0.50
24,1,0.49,1.20
25,1,0.50,1.00
26,1,0.50,0.50
27,1,0.18,1.12
28,1,0.50,0.50
29,1,0.50,0.50
20,2,0.50,2.83
21,2,0.50,0.50
22,2,0.45,1.57
23,2,1.82,3.03
24,2,0.74,1.05
25,2,0.50,0.50
26,2,0.50,0.50
27,2,0.86,1.03
28,2,0.50,0.50
29,2,0.50,0.50
20,3,0.50,0.50
21,3,0.55,3.53
22,3,0.48,1.25
23,3,1.16,4.83
24,3,0.50,1.08
25,3,0.13,2.80
26,3,0.12,1.10
27,3,0.50,0.50
28,3,0.50,0.50
29,3,0.26,1.65
30,0,0.50,0.50
31,0,0.50,0.58
32,0,0.24,4.69
33,0,0.63,3.20
34,0,0.56,1.41
35,0,0.56,1.24
36,0,0.44,0.62
37,0,1.33,3.03
38,0,0.82,1.10
39,0,-0.00,0.98
30,1,0.50,2.02
31,1,0.50,0.73
32,1,0.22,1.65
33,1,1.55,3.54
34,1,0.59,1.38
35,1,0.07,0.76
36,1,0.50,0.50
37,1,0.07,1.07
38,1,0.29,0.83
39,1,0.19,0.90
30,2,0.50,1.42
31,2,0.58,3.67
